xvalue,yvalue,label
-2.5255866,1.8525717,9
0.93184316,-2.8405168,2
2.9504766,1.3076515,1
2.8869104,1.2516384,1
0.52697796,-1.7202729,6
2.8766305,1.2152488,1
0.42412,-0.8528454,4
0.50483674,-1.3878955,6
-1.4902275,2.6106458,5
-1.7748373,2.8223927,7
0.96416247,-2.4692123,4
-2.0263817,2.1957026,5
-1.8550568,2.6041622,7
2.149976,0.23966786,3
1.0389589,-2.5647378,4
2.8331528,1.1619622,1
0.41869065,-1.6008085,2
0.58137727,-2.2929096,4
-1.6111423,-1.2150453,8
0.75497735,0.4378555,0
0.29414386,-2.479156,2
-1.9701668,2.7766223,5
-2.138345,2.6874044,7
-2.3836725,2.4004068,9
2.875928,1.2335484,1
0.3845848,-1.2368412,4
1.0335798,-2.6072595,6
1.9500173,-0.026797399,0
-2.8588064,1.6894999,9
1.875999,-0.69262177,3
-0.94899887,-1.6689615,8
-0.20738554,-1.0124898,8
1.9588532,0.30901343,3
1.8636448,-0.436846,3
-0.59082204,-1.3658653,8
0.6943251,-0.34355855,0
-1.8362025,2.8998103,7
-1.514716,2.596958,5
-1.882007,2.9439392,7
-3.0001936,1.3193822,9
0.69968677,0.45420557,6
2.9611757,1.3110995,1
1.7882812,-0.2733842,3
-2.7424831,1.9737264,7
1.2003694,-2.3476882,6
-2.2698572,1.5881176,7
0.5914114,-2.562965,2
2.912436,1.2290713,1
0.48435473,-1.2809447,2
0.8998923,-2.2521548,2
0.48693466,-2.7085574,4
0.413562,-1.2917507,4
-1.600691,2.501432,5
0.21780652,-2.5906005,8
0.98555094,-1.3788196,2
0.4791031,-2.6496098,2
-1.5733542,-1.3214548,8
1.0332501,-2.2533655,4
-1.6490016,-1.1831809,8
0.64036644,-0.39295444,0
-1.8608655,2.8730412,7
-2.1282551,2.6353233,7
-1.2329409,-1.4093693,8
-1.7044802,2.42165,5
2.914386,1.2528241,1
2.8290668,1.2145542,1
0.95757055,-0.39767992,2
2.1452942,-0.18413551,3
-2.1991358,2.247265,9
